county,precinct,office,district,candidate,party,votes,absentee,election_day
Butler County,2270 IRWIN BOROUGH - 7th WARD,Straight Party,,Republican,REP,111,3,108
Butler County,2270 IRWIN BOROUGH - 7th WARD,Straight Party,,Green Party,GRN,0,0,0
Butler County,2270 IRWIN BOROUGH - 7th WARD,Straight Party,,Libertarian,LN,1,0,1
Butler County,2270 IRWIN BOROUGH - 7th WARD,U.S. Senate,,Bob Casey Jr,DEM,159,2,157
Butler County,2270 IRWIN BOROUGH - 7th WARD,U.S. Senate,,Lou Barletta,REP,183,4,179
Butler County,2270 IRWIN BOROUGH - 7th WARD,U.S. Senate,,Neal Gale,GRN,1,0,1
Butler County,2270 IRWIN BOROUGH - 7th WARD,U.S. Senate,,Dale R Kerns Jr,LN,6,0,6
Butler County,2270 IRWIN BOROUGH - 7th WARD,Governor,,Tom Wolf,DEM,181,2,179
Butler County,2270 IRWIN BOROUGH - 7th WARD,Governor,,Scott R Wagner,REP,168,4,164
Butler County,2270 IRWIN BOROUGH - 7th WARD,Governor,,Paul Glover,GRN,2,0,2
Butler County,2270 IRWIN BOROUGH - 7th WARD,Governor,,Ken V Krawchuk,LN,4,0,4
Butler County,2270 IRWIN BOROUGH - 7th WARD,U.S. House,14.0,Bibiana Boerio,DEM,154,2,152
Butler County,2270 IRWIN BOROUGH - 7th WARD,U.S. House,14.0,Guy Reschenthaler,REP,199,4,195
Butler County,2270 IRWIN BOROUGH - 7th WARD,State House,56.0,Doug Hunt,DEM,155,2,153
Butler County,2270 IRWIN BOROUGH - 7th WARD,State House,56.0,George Dunbar,REP,199,4,195
Butler County,2310 JEANNETTE - 1,Straight Party,,Democratic,DEM,68,0,68
Butler County,2310 JEANNETTE - 1,Straight Party,,Republican,REP,18,1,17
Butler County,2310 JEANNETTE - 1,Straight Party,,Green Party,GRN,0,0,0
Butler County,2310 JEANNETTE - 1,Straight Party,,Libertarian,LN,1,0,1
Butler County,2310 JEANNETTE - 1,U.S. Senate,,Bob Casey Jr,DEM,77,0,77
Butler County,2310 JEANNETTE - 1,U.S. Senate,,Lou Barletta,REP,31,1,30
Butler County,2310 JEANNETTE - 1,U.S. Senate,,Neal Gale,GRN,2,0,2
Butler County,2310 JEANNETTE - 1,U.S. Senate,,Dale R Kerns Jr,LN,1,0,1
Butler County,2310 JEANNETTE - 1,Governor,,Tom Wolf,DEM,75,0,75
Butler County,2310 JEANNETTE - 1,Governor,,Scott R Wagner,REP,34,1,33
Butler County,2310 JEANNETTE - 1,Governor,,Paul Glover,GRN,1,0,1
Butler County,2310 JEANNETTE - 1,Governor,,Ken V Krawchuk,LN,1,0,1
Butler County,2310 JEANNETTE - 1,U.S. House,14.0,Bibiana Boerio,DEM,79,0,79
Butler County,2310 JEANNETTE - 1,U.S. House,14.0,Guy Reschenthaler,REP,32,1,31
Butler County,2310 JEANNETTE - 1,State House,58.0,Mary Popovich,DEM,80,0,80
Butler County,2310 JEANNETTE - 1,State House,58.0,Justin Walsh,REP,31,1,30
Butler County,2321 JEANNETTE - 2-1,Straight Party,,Democratic,DEM,48,0,47
Butler County,2321 JEANNETTE - 2-1,Straight Party,,Republican,REP,41,0,41
Butler County,2321 JEANNETTE - 2-1,Straight Party,,Green Party,GRN,0,0,0
Butler County,2321 JEANNETTE - 2-1,Straight Party,,Libertarian,LN,1,0,1
Butler County,2321 JEANNETTE - 2-1,U.S. Senate,,Bob Casey Jr,DEM,85,0,84
Butler County,2321 JEANNETTE - 2-1,U.S. Senate,,Lou Barletta,REP,73,0,73
Butler County,2321 JEANNETTE - 2-1,U.S. Senate,,Neal Gale,GRN,0,0,0
Butler County,2321 JEANNETTE - 2-1,U.S. Senate,,Dale R Kerns Jr,LN,0,0,0
Butler County,2321 JEANNETTE - 2-1,Governor,,Tom Wolf,DEM,87,0,87
Butler County,2321 JEANNETTE - 2-1,Governor,,Scott R Wagner,REP,70,0,70
Butler County,2321 JEANNETTE - 2-1,Governor,,Paul Glover,GRN,1,0,1
Butler County,2321 JEANNETTE - 2-1,Governor,,Ken V Krawchuk,LN,0,0,0
Butler County,2321 JEANNETTE - 2-1,U.S. House,14.0,Bibiana Boerio,DEM,79,0,78
Butler County,2321 JEANNETTE - 2-1,U.S. House,14.0,Guy Reschenthaler,REP,77,0,77
Butler County,2321 JEANNETTE - 2-1,State House,58.0,Mary Popovich,DEM,73,0,73
Butler County,2321 JEANNETTE - 2-1,State House,58.0,Justin Walsh,REP,83,0,83
