county,precinct,office,district,candidate,party,votes,absentee,election_day
Schuylkill,Tremont Twp.,U.S. House,9,Denny Wolff,Democratic,27,,
Schuylkill,Upper Mahantongo Twp.,U.S. House,9,Denny Wolff,Democratic,69,,
Schuylkill,Washington Twp. North,U.S. House,9,Denny Wolff,Democratic,190,,
Schuylkill,Washington Twp. South,U.S. House,9,Denny Wolff,Democratic,145,,
Schuylkill,Wayne Twp. Pct. 1,U.S. House,9,Denny Wolff,Democratic,253,,
Schuylkill,Wayne Twp. Pct. 2,U.S. House,9,Denny Wolff,Democratic,210,,
Schuylkill,North Manheim Twp. Pct. 1,U.S. House,9,Denny Wolff,Democratic,229,,
Schuylkill,West Penn Twp. Pct. 3,U.S. House,9,Denny Wolff,Democratic,177,,
Schuylkill,Wayne Twp. Pct. 3,U.S. House,9,Denny Wolff,Democratic,261,,
Schuylkill,Ashland 1st Pct.,U.S. House,9,Dan Meuser,Republican,207,,
Schuylkill,Ashland 2nd Pct.,U.S. House,9,Dan Meuser,Republican,217,,
Schuylkill,Blythe Twp.,U.S. House,9,Dan Meuser,Republican,184,,
Schuylkill,Branch Twp.,U.S. House,9,Dan Meuser,Republican,347,,
Schuylkill,Butler Twp. Englewood,U.S. House,9,Dan Meuser,Republican,156,,
Schuylkill,Butler Twp. Ft. Springs,U.S. House,9,Dan Meuser,Republican,379,,
Schuylkill,Butler Twp. Lavelle,U.S. House,9,Dan Meuser,Republican,422,,
Schuylkill,Butler Twp. Northeast,U.S. House,9,Dan Meuser,Republican,58,,
Schuylkill,Cass Twp. North,U.S. House,9,Dan Meuser,Republican,72,,
Schuylkill,Cass Twp. South,U.S. House,9,Dan Meuser,Republican,257,,
Schuylkill,Delano Twp.,U.S. House,9,Dan Meuser,Republican,73,,
Schuylkill,East Norwegian Twp.,U.S. House,9,Dan Meuser,Republican,240,,
Schuylkill,Frackville North,U.S. House,9,Dan Meuser,Republican,226,,
Schuylkill,Frackville Middle,U.S. House,9,Dan Meuser,Republican,176,,
Schuylkill,Frackville South,U.S. House,9,Dan Meuser,Republican,381,,
Schuylkill,Gilberton,U.S. House,9,Dan Meuser,Republican,108,,
Schuylkill,Girardville,U.S. House,9,Dan Meuser,Republican,195,,
Schuylkill,Gordon,U.S. House,9,Dan Meuser,Republican,166,,
Schuylkill,Mahanoy City Pct. 1,U.S. House,9,Dan Meuser,Republican,63,,
Schuylkill,Mahanoy City Pct. 2,U.S. House,9,Dan Meuser,Republican,144,,
Schuylkill,Mahanoy City Pct. 3,U.S. House,9,Dan Meuser,Republican,114,,
Schuylkill,Mahanoy City Pct. 4,U.S. House,9,Dan Meuser,Republican,188,,
Schuylkill,Mahanoy Twp.,U.S. House,9,Dan Meuser,Republican,193,,
Schuylkill,Middleport,U.S. House,9,Dan Meuser,Republican,98,,
Schuylkill,Minersville 1st Pct.,U.S. House,9,Dan Meuser,Republican,155,,
Schuylkill,Minersville 2nd Pct.,U.S. House,9,Dan Meuser,Republican,171,,
Schuylkill,Minersville 3rd Pct.,U.S. House,9,Dan Meuser,Republican,145,,
Schuylkill,Minersville 4th Pct.,U.S. House,9,Dan Meuser,Republican,130,,
Schuylkill,New Castle Twp.,U.S. House,9,Dan Meuser,Republican,46,,
Schuylkill,New Philadelphia,U.S. House,9,Dan Meuser,Republican,167,,
Schuylkill,Norwegian Twp. Currans,U.S. House,9,Dan Meuser,Republican,403,,
Schuylkill,Norwegian Twp. Marlin,U.S. House,9,Dan Meuser,Republican,225,,
Schuylkill,Palo Alto 1st Ward,U.S. House,9,Dan Meuser,Republican,92,,
Schuylkill,Palo Alto 2nd Ward,U.S. House,9,Dan Meuser,Republican,110,,
Schuylkill,Port Carbon 1st Pct.,U.S. House,9,Dan Meuser,Republican,106,,
Schuylkill,Port Carbon 2nd Pct.,U.S. House,9,Dan Meuser,Republican,241,,
Schuylkill,Reilly Twp.,U.S. House,9,Dan Meuser,Republican,143,,
Schuylkill,Ryan Twp.,U.S. House,9,Dan Meuser,Republican,495,,
Schuylkill,St. Clair Middle,U.S. House,9,Dan Meuser,Republican,119,,
Schuylkill,St. Clair South,U.S. House,9,Dan Meuser,Republican,176,,
Schuylkill,St. Clair North,U.S. House,9,Dan Meuser,Republican,149,,
Schuylkill,Shenandoah 1st Pct.,U.S. House,9,Dan Meuser,Republican,53,,
Schuylkill,Shenandoah 2nd Pct.,U.S. House,9,Dan Meuser,Republican,82,,
Schuylkill,Shenandoah 3rd Pct.,U.S. House,9,Dan Meuser,Republican,140,,
Schuylkill,Shenandoah 4th Pct.,U.S. House,9,Dan Meuser,Republican,89,,
Schuylkill,Shenandoah 5th Pct.,U.S. House,9,Dan Meuser,Republican,104,,
Schuylkill,Shenandoah 6th Pct.,U.S. House,9,Dan Meuser,Republican,39,,
Schuylkill,West Mahanoy Twp. Altamont,U.S. House,9,Dan Meuser,Republican,212,,
Schuylkill,West Mahanoy Twp. Pct. 2,U.S. House,9,Dan Meuser,Republican,296,,
Schuylkill,West Mahanoy Twp. Pct. 1,U.S. House,9,Dan Meuser,Republican,77,,
Schuylkill,Auburn,U.S. House,9,Dan Meuser,Republican,150,,
Schuylkill,Coaldale East Pct.,U.S. House,9,Dan Meuser,Republican,175,,
Schuylkill,Coaldale West Pct.,U.S. House,9,Dan Meuser,Republican,191,,
Schuylkill,Deer Lake,U.S. House,9,Dan Meuser,Republican,189,,
Schuylkill,East Brunswick Twp.,U.S. House,9,Dan Meuser,Republican,615,,
Schuylkill,East Union Twp.,U.S. House,9,Dan Meuser,Republican,504,,
Schuylkill,Kline Twp.,U.S. House,9,Dan Meuser,Republican,439,,
Schuylkill,Landingville,U.S. House,9,Dan Meuser,Republican,57,,
Schuylkill,McAdoo 1st Pct.,U.S. House,9,Dan Meuser,Republican,203,,
Schuylkill,McAdoo 2nd Pct.,U.S. House,9,Dan Meuser,Republican,208,,
