,ID,ElectionYear,CountyName,PartyName,CandidateName,Votes,YesVotes,NoVotes,Percentage,YesVotesPercent,NoVotesPercent,RunningMateName,Level,RankOrder,IsRetention,office
2,,2018,CENTRE,GRN,"GLOVER, PAUL ",515,0,0,0.85,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CENTRE,14,0,Governor
3,,2018,CENTRE,LIB,"KRAWCHUK, KENNETH V ",849,0,0,1.40,0.00,0.00,"SMITH, KATHLEEN S",CENTRE,17,0,Governor
0,2,2018,CHESTER,DEM,"WOLF, THOMAS W ",145212,0,0,61.33,0.00,0.00,"FETTERMAN, JOHN K",CHESTER,1,0,Governor
1,4,2018,CHESTER,REP,"WAGNER, SCOTT R ",87873,0,0,37.11,0.00,0.00,"BARTOS, JEFFREY A",CHESTER,5,0,Governor
2,,2018,CHESTER,GRN,"GLOVER, PAUL ",1242,0,0,0.52,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CHESTER,14,0,Governor
3,,2018,CHESTER,LIB,"KRAWCHUK, KENNETH V ",2448,0,0,1.03,0.00,0.00,"SMITH, KATHLEEN S",CHESTER,17,0,Governor
0,2,2018,CLARION,DEM,"WOLF, THOMAS W ",5191,0,0,36.83,0.00,0.00,"FETTERMAN, JOHN K",CLARION,1,0,Governor
1,4,2018,CLARION,REP,"WAGNER, SCOTT R ",8594,0,0,60.98,0.00,0.00,"BARTOS, JEFFREY A",CLARION,5,0,Governor
2,,2018,CLARION,GRN,"GLOVER, PAUL ",114,0,0,0.81,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CLARION,14,0,Governor
3,,2018,CLARION,LIB,"KRAWCHUK, KENNETH V ",195,0,0,1.38,0.00,0.00,"SMITH, KATHLEEN S",CLARION,17,0,Governor
0,2,2018,CLEARFIELD,DEM,"WOLF, THOMAS W ",9235,0,0,34.34,0.00,0.00,"FETTERMAN, JOHN K",CLEARFIELD,1,0,Governor
1,4,2018,CLEARFIELD,REP,"WAGNER, SCOTT R ",17241,0,0,64.11,0.00,0.00,"BARTOS, JEFFREY A",CLEARFIELD,5,0,Governor
2,,2018,CLEARFIELD,GRN,"GLOVER, PAUL ",165,0,0,0.61,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CLEARFIELD,14,0,Governor
3,,2018,CLEARFIELD,LIB,"KRAWCHUK, KENNETH V ",251,0,0,0.93,0.00,0.00,"SMITH, KATHLEEN S",CLEARFIELD,17,0,Governor
0,2,2018,CLINTON,DEM,"WOLF, THOMAS W ",5517,0,0,44.22,0.00,0.00,"FETTERMAN, JOHN K",CLINTON,1,0,Governor
1,4,2018,CLINTON,REP,"WAGNER, SCOTT R ",6727,0,0,53.92,0.00,0.00,"BARTOS, JEFFREY A",CLINTON,5,0,Governor
2,,2018,CLINTON,GRN,"GLOVER, PAUL ",67,0,0,0.54,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CLINTON,14,0,Governor
3,,2018,CLINTON,LIB,"KRAWCHUK, KENNETH V ",165,0,0,1.32,0.00,0.00,"SMITH, KATHLEEN S",CLINTON,17,0,Governor
0,2,2018,COLUMBIA,DEM,"WOLF, THOMAS W ",9822,0,0,43.39,0.00,0.00,"FETTERMAN, JOHN K",COLUMBIA,1,0,Governor
1,4,2018,COLUMBIA,REP,"WAGNER, SCOTT R ",12424,0,0,54.88,0.00,0.00,"BARTOS, JEFFREY A",COLUMBIA,5,0,Governor
2,,2018,COLUMBIA,GRN,"GLOVER, PAUL ",148,0,0,0.65,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",COLUMBIA,14,0,Governor
3,,2018,COLUMBIA,LIB,"KRAWCHUK, KENNETH V ",244,0,0,1.08,0.00,0.00,"SMITH, KATHLEEN S",COLUMBIA,17,0,Governor
0,2,2018,CRAWFORD,DEM,"WOLF, THOMAS W ",12137,0,0,39.74,0.00,0.00,"FETTERMAN, JOHN K",CRAWFORD,1,0,Governor
1,4,2018,CRAWFORD,REP,"WAGNER, SCOTT R ",17859,0,0,58.47,0.00,0.00,"BARTOS, JEFFREY A",CRAWFORD,5,0,Governor
2,,2018,CRAWFORD,GRN,"GLOVER, PAUL ",206,0,0,0.67,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CRAWFORD,14,0,Governor
3,,2018,CRAWFORD,LIB,"KRAWCHUK, KENNETH V ",342,0,0,1.12,0.00,0.00,"SMITH, KATHLEEN S",CRAWFORD,17,0,Governor
0,2,2018,CUMBERLAND,DEM,"WOLF, THOMAS W ",52807,0,0,50.54,0.00,0.00,"FETTERMAN, JOHN K",CUMBERLAND,1,0,Governor
1,4,2018,CUMBERLAND,REP,"WAGNER, SCOTT R ",49496,0,0,47.37,0.00,0.00,"BARTOS, JEFFREY A",CUMBERLAND,5,0,Governor
2,,2018,CUMBERLAND,GRN,"GLOVER, PAUL ",671,0,0,0.64,0.00,0.00,"BOWSER-BOSTICK, JOCOLYN ",CUMBERLAND,14,0,Governor
3,,2018,CUMBERLAND,LIB,"KRAWCHUK, KENNETH V ",1504,0,0,1.44,0.00,0.00,"SMITH, KATHLEEN S",CUMBERLAND,17,0,Governor
0,2,2018,DAUPHIN,DEM,"WOLF, THOMAS W ",64045,0,0,59.00,0.00,0.00,"FETTERMAN, JOHN K",DAUPHIN,1,0,Governor
1,4,2018,DAUPHIN,REP,"WAGNER, SCOTT R ",42436,0,0,39.09,0.00,0.00,"BARTOS, JEFFREY A",DAUPHIN,5,0,Governor
